id,term,category,definition,related_terms
"generative-engine-optimization","Generative Engine Optimization (GEO)","Core GEO Concepts","The practice of optimizing digital content, entities, and structured data so that AI-powered generative engines (such as ChatGPT, Gemini, Perplexity, and Claude) can accurately discover, interpret, and cite the information in their responses.","algorithmic-visibility;citability;zero-click-economy;content-citability"
"algorithmic-visibility","Algorithmic Visibility","Core GEO Concepts","The degree to which a brand, person, or entity is surfaced and referenced by AI-driven search engines and generative models. Unlike traditional SEO visibility, algorithmic visibility depends on structured data quality, entity authority, and content citability.","generative-engine-optimization;share-of-voice-ai;visibility-audit"
"citability","Citability","Core GEO Concepts","The quality that makes a piece of content likely to be selected as a source or reference by a generative AI engine. Citability is driven by clarity, authority, structured formatting, and factual precision.","content-citability;citation-accuracy;author-attribution"
"entity-drift","Entity Drift","Core GEO Concepts","The gradual divergence between how a real-world entity (person, brand, concept) is represented in AI knowledge bases versus its actual current state. Entity drift can result in outdated or inaccurate AI-generated descriptions.","entity-authority;knowledge-graph;wikidata-entry"
"zero-click-economy","Zero-Click Economy","Core GEO Concepts","An information economy where users receive complete answers directly from AI engines or search features without clicking through to the original source. This shifts value from traffic-based metrics to citation-based authority.","generative-engine-optimization;citability;share-of-voice-ai"
"ai-overview","AI Overview","Core GEO Concepts","A summarized, AI-generated answer displayed at the top of a search results page, synthesizing information from multiple sources. Google's AI Overviews are a prominent example of this pattern.","generative-engine-optimization;zero-click-economy;rag"
"geo-strategy","GEO Strategy","Core GEO Concepts","A comprehensive plan that combines entity optimization, structured data implementation, content citability improvements, and technical infrastructure to maximize an entity's presence in AI-generated responses.","generative-engine-optimization;algorithmic-visibility;visibility-audit"
"generative-search","Generative Search","Core GEO Concepts","A search paradigm where AI models generate synthesized, conversational answers by drawing from multiple sources, rather than returning a list of ranked links. Examples include Perplexity, Google AI Overviews, and Bing Copilot.","ai-overview;zero-click-economy;rag"
"schema-org","Schema.org","Entity & Identity","A collaborative vocabulary of structured data markup schemas maintained by Google, Microsoft, Yahoo, and Yandex. Schema.org types and properties are foundational to how AI engines parse and understand web content.","json-ld;structured-data;faq-page-schema"
"json-ld","JSON-LD","Entity & Identity","JavaScript Object Notation for Linked Data, the preferred format for embedding structured data in web pages. JSON-LD scripts allow AI crawlers and search engines to parse entity relationships, authorship, and content types.","schema-org;structured-data;same-as"
"same-as","sameAs","Entity & Identity","A Schema.org property that links an entity to its equivalent representations on other platforms (e.g., Wikipedia, LinkedIn, Wikidata). The sameAs property helps AI engines confirm entity identity across the web.","schema-org;json-ld;wikidata-entry;entity-reconciliation"
"knows-about","knowsAbout","Entity & Identity","A Schema.org property used on Person or Organization markup to declare the topics and domains of expertise associated with an entity. It helps AI engines associate an author or brand with specific subject areas.","schema-org;json-ld;author-attribution;entity-authority"
"wikidata-entry","Wikidata Entry","Entity & Identity","A structured data record in the Wikidata knowledge base, identified by a unique Q-identifier. Wikidata entries serve as a canonical identity anchor used by AI engines to resolve entity references.","same-as;knowledge-graph;entity-reconciliation"
"entity-authority","Entity Authority","Entity & Identity","The perceived credibility and trustworthiness of an entity within AI knowledge systems. Entity authority is built through consistent structured data, reputable citations, and corroboration across multiple reliable sources.","entity-drift;wikidata-entry;algorithmic-visibility"
"knowledge-graph","Knowledge Graph","Entity & Identity","A structured database of entities and their relationships used by search engines and AI systems to understand real-world connections. Google's Knowledge Graph is the most widely known example.","wikidata-entry;entity-authority;entity-reconciliation"
"entity-reconciliation","Entity Reconciliation","Entity & Identity","The process by which AI systems match and merge references to the same real-world entity across different data sources. Proper use of sameAs, Wikidata IDs, and consistent naming improves reconciliation accuracy.","same-as;wikidata-entry;knowledge-graph;entity-drift"
"entity-disambiguation","Entity Disambiguation","Entity & Identity","The process of distinguishing between entities that share the same or similar names. Structured data and contextual signals help AI engines correctly identify which entity is being referenced.","entity-reconciliation;knowledge-graph;same-as"
"llms-txt","llms.txt","Technical Infrastructure","A proposed standard file (similar to robots.txt) placed at the root of a website to provide AI language models with structured metadata, permissions, and context about the site's content and preferred citation format.","structured-data;generative-engine-optimization;ai-crawlability"
"faq-page-schema","FAQPage Schema","Technical Infrastructure","A Schema.org type used to mark up frequently asked questions and their answers on a web page. FAQPage schema increases the likelihood that AI engines will extract and cite specific Q&A pairs.","schema-org;json-ld;structured-data"
"structured-data","Structured Data","Technical Infrastructure","Machine-readable data embedded in web pages using standardized formats (JSON-LD, Microdata, RDFa) that describes entities, content types, and relationships. Structured data is a foundational element of GEO.","schema-org;json-ld;semantic-html"
"semantic-html","Semantic HTML","Technical Infrastructure","The use of HTML elements that convey meaning about the content they contain (e.g., article, section, nav, header). Semantic HTML helps AI parsers understand document structure and content hierarchy.","structured-data;content-citability;ai-crawlability"
"ai-crawlability","AI Crawlability","Technical Infrastructure","The ease with which AI systems and their web crawlers can access, parse, and index a website's content. Factors include server-side rendering, structured data presence, and permissions declared in robots.txt and llms.txt.","llms-txt;structured-data;semantic-html"
"robots-txt-ai","Robots.txt (AI Directives)","Technical Infrastructure","Extensions or specific user-agent rules within a robots.txt file that control how AI crawlers (such as GPTBot, Google-Extended, ClaudeBot) access and index site content.","llms-txt;ai-crawlability"
"server-side-rendering","Server-Side Rendering (SSR)","Technical Infrastructure","A technique where web pages are rendered on the server before being sent to the client, ensuring that AI crawlers and generative engines can fully access content without executing JavaScript.","ai-crawlability;semantic-html"
"knowledge-panel-optimization","Knowledge Panel Optimization","Technical Infrastructure","The process of claiming, verifying, and enriching a Google Knowledge Panel to ensure accurate and complete entity information is available for AI engines that reference Google's knowledge base.","knowledge-graph;entity-authority;schema-org"
"content-citability","Content Citability","Content & Citability","The degree to which a specific piece of content is structured, authoritative, and clear enough to be selected as a citation source by generative AI engines. High content citability requires factual precision, clear definitions, and proper attribution.","citability;definition-page;named-framework"
"definition-page","Definition Page","Content & Citability","A dedicated web page that provides a clear, authoritative definition of a specific term or concept. Definition pages are highly citable by AI engines because they offer concise, structured answers to definitional queries.","content-citability;citability;faq-page-schema"
"named-framework","Named Framework","Content & Citability","A proprietary methodology, model, or system given a distinctive name and associated with a specific author or brand. Named frameworks increase citability because AI engines can reference them as unique, attributable concepts.","content-citability;author-attribution;entity-authority"
"author-attribution","Author Attribution","Content & Citability","The practice of clearly identifying the author of content through bylines, structured data markup, and linked author profiles. Strong author attribution signals help AI engines associate content with authoritative entities.","knows-about;entity-authority;content-citability"
"topical-authority","Topical Authority","Content & Citability","The recognition by AI and search systems that a website or author is a leading, comprehensive source on a specific subject area. Topical authority is built through depth and breadth of high-quality content on a topic.","entity-authority;content-citability;knows-about"
"citable-snippet","Citable Snippet","Content & Citability","A concise, self-contained passage of text (typically 1-3 sentences) that is structured to be easily extracted and quoted by AI engines. Citable snippets often begin with a clear definition or declarative statement.","content-citability;definition-page;citability"
"content-freshness","Content Freshness","Content & Citability","The recency and up-to-date quality of content, which affects whether AI engines select it as a citation source. Regularly updated content with visible timestamps signals relevance to generative models.","content-citability;entity-drift;visibility-audit"
"multi-format-content","Multi-Format Content","Content & Citability","The practice of publishing the same core information in multiple formats (text, video, audio, infographic, structured data) to maximize discoverability and citability across different AI engines and platforms.","content-citability;generative-engine-optimization"
"share-of-voice-ai","Share of Voice (AI)","Measurement & Auditing","A metric that measures how frequently a brand or entity is mentioned, cited, or recommended in AI-generated responses compared to competitors. It is the GEO equivalent of traditional search share of voice.","algorithmic-visibility;visibility-audit;prompt-bank"
"prompt-bank","Prompt Bank","Measurement & Auditing","A curated collection of standardized prompts used to systematically test how AI engines respond to queries about a specific brand, entity, or topic. Prompt banks enable repeatable GEO auditing.","share-of-voice-ai;visibility-audit;citation-accuracy"
"visibility-audit","Visibility Audit","Measurement & Auditing","A systematic evaluation of how an entity appears across multiple AI engines and generative search platforms. A visibility audit identifies gaps in algorithmic presence, entity accuracy, and citation frequency.","share-of-voice-ai;prompt-bank;algorithmic-visibility"
"citation-accuracy","Citation Accuracy","Measurement & Auditing","The degree to which AI-generated citations correctly reflect the source material, including proper attribution, factual fidelity, and link accuracy. Monitoring citation accuracy is essential for GEO auditing.","citability;visibility-audit;prompt-bank"
"sentiment-analysis-ai","Sentiment Analysis (AI Responses)","Measurement & Auditing","The evaluation of whether AI-generated responses about a brand or entity carry positive, neutral, or negative sentiment. Tracking sentiment across AI engines is a key GEO measurement practice.","share-of-voice-ai;visibility-audit;entity-drift"
"hallucination-rate","Hallucination Rate","Measurement & Auditing","The frequency at which AI engines generate factually incorrect or fabricated information about an entity. A high hallucination rate for a brand indicates poor entity anchoring in AI knowledge bases.","entity-drift;citation-accuracy;entity-authority"
"competitor-benchmarking-ai","Competitor Benchmarking (AI)","Measurement & Auditing","The practice of comparing an entity's AI visibility, citation frequency, and response quality against competitors across generative engines. It informs GEO strategy prioritization.","share-of-voice-ai;visibility-audit;prompt-bank"
"business-to-agent","Business-to-Agent (B2A)","Business-to-Agent","A commerce and communication paradigm where businesses optimize their offerings to be discovered, evaluated, and recommended by autonomous AI agents acting on behalf of human users.","agentic-commerce;algorithmic-eligibility;agent-triaging"
"agentic-commerce","Agentic Commerce","Business-to-Agent","A model of online commerce where AI agents autonomously research, compare, and purchase products or services on behalf of users. Businesses must ensure structured, machine-readable product data to participate.","business-to-agent;algorithmic-eligibility;agent-triaging"
"algorithmic-eligibility","Algorithmic Eligibility","Business-to-Agent","The set of conditions a business or product must meet to be considered and recommended by AI agents during automated decision-making processes. Eligibility depends on structured data completeness, entity authority, and content citability.","business-to-agent;agentic-commerce;structured-data"
"agent-triaging","Agent Triaging","Business-to-Agent","The process by which an AI agent evaluates, ranks, and filters options (products, services, providers) before presenting a shortlist to the user. Agent triaging relies on structured data, reviews, and entity authority signals.","business-to-agent;agentic-commerce;algorithmic-eligibility"
"agent-readable-content","Agent-Readable Content","Business-to-Agent","Content specifically structured and formatted to be easily parsed and acted upon by autonomous AI agents. This includes machine-readable pricing, specifications, availability, and policies.","business-to-agent;structured-data;agentic-commerce"
"agent-trust-signals","Agent Trust Signals","Business-to-Agent","Data points and indicators that AI agents use to assess the reliability and quality of a business or product, including verified reviews, certifications, structured warranties, and consistent entity data across platforms.","agent-triaging;algorithmic-eligibility;entity-authority"
"chatgpt","ChatGPT","AI Engines & Platforms","An AI conversational engine developed by OpenAI, based on the GPT family of large language models. ChatGPT is one of the primary generative engines targeted by GEO strategies due to its large user base and web browsing capabilities.","generative-engine-optimization;rag;generative-search"
"gemini","Gemini","AI Engines & Platforms","Google's family of multimodal AI models and the conversational AI assistant integrated into Google Search and Workspace products. Gemini's deep integration with Google's search index makes it a critical platform for GEO.","generative-engine-optimization;ai-overview;generative-search"
"claude","Claude","AI Engines & Platforms","An AI assistant developed by Anthropic, known for its long-context capabilities and emphasis on safety. Claude is a growing generative engine that practitioners consider when developing multi-platform GEO strategies.","generative-engine-optimization;rag;generative-search"
"perplexity","Perplexity","AI Engines & Platforms","An AI-powered answer engine that combines real-time web search with generative AI to provide cited, sourced answers. Perplexity is a key platform for GEO because it explicitly attributes and links to sources.","generative-engine-optimization;rag;citability;generative-search"
"rag","Retrieval-Augmented Generation (RAG)","AI Engines & Platforms","An AI architecture that combines information retrieval from external data sources with generative language model output. RAG enables AI engines to ground their responses in up-to-date, source-specific information.","generative-search;chatgpt;perplexity;citability"
"bing-copilot","Bing Copilot","AI Engines & Platforms","Microsoft's AI-powered search assistant integrated into Bing, combining traditional search indexing with generative AI responses. Bing Copilot uses RAG to provide sourced answers and is an important GEO target.","generative-search;rag;generative-engine-optimization"
"searchgpt","SearchGPT","AI Engines & Platforms","OpenAI's search product that combines web retrieval with GPT-powered answer generation. SearchGPT represents the convergence of traditional search and generative AI.","chatgpt;rag;generative-search"
"ai-agent-platform","AI Agent Platform","AI Engines & Platforms","A software platform that enables autonomous AI agents to perform tasks, make decisions, and interact with external services on behalf of users. Examples include OpenAI's agent frameworks and Google's agent ecosystem.","business-to-agent;agentic-commerce;agent-triaging"
"grounding","Grounding","Core GEO Concepts","The process by which an AI model connects its generated output to verifiable, factual sources. Grounding reduces hallucination and increases the accuracy of AI-generated citations and references.","rag;citability;hallucination-rate"
"digital-entity-footprint","Digital Entity Footprint","Entity & Identity","The totality of an entity's structured and unstructured presence across the web, including schema markup, social profiles, knowledge base entries, and content publications. A comprehensive footprint improves AI recognition.","entity-authority;same-as;knowledge-graph"
"answer-engine-optimization","Answer Engine Optimization (AEO)","Core GEO Concepts","A precursor concept to GEO focused on optimizing content to appear in direct-answer features of search engines. AEO has evolved into the broader GEO discipline as AI engines have replaced simple answer boxes.","generative-engine-optimization;ai-overview;zero-click-economy"
"prompt-alignment","Prompt Alignment","Content & Citability","The practice of structuring content to match the natural language patterns and question formats that users employ when querying AI engines. Prompt-aligned content is more likely to be retrieved and cited.","content-citability;prompt-bank;generative-engine-optimization"
"source-authority-score","Source Authority Score","Measurement & Auditing","An inferred metric representing how much weight an AI engine assigns to a particular source when generating responses. Higher source authority leads to more frequent citation and recommendation.","entity-authority;citation-accuracy;share-of-voice-ai"
"llm-seo","LLM SEO","Core GEO Concepts","An informal term for optimization practices specifically targeting large language models, as distinct from traditional search engine optimization. LLM SEO is largely synonymous with GEO.","generative-engine-optimization;algorithmic-visibility"
"brand-mention-tracking","Brand Mention Tracking (AI)","Measurement & Auditing","The systematic monitoring of how often and in what context a brand is mentioned in AI-generated responses across multiple generative engines. This is a core component of ongoing GEO measurement.","share-of-voice-ai;visibility-audit;prompt-bank"
